Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
2024-02-19 04:03:07,2024-02-20 02:12:08,UTC-08:00,2024-02-19 20:03:00,2024-02-19 20:16:00,13,Weightlifting,3.9,20.0,127,87,19,3,0,0,0,false,,,
2024-02-19 04:03:07,2024-02-20 02:12:08,UTC-08:00,2024-02-19 19:30:07,2024-02-19 20:02:23,32,Elliptical,8.6,275.0,154,130,17,17,60,6,0,false,,,
2024-02-18 03:36:09,2024-02-19 04:03:07,UTC-08:00,2024-02-18 14:33:33,2024-02-18 16:00:07,86,Swimming,15.5,858.0,188,136,16,14,19,45,4,false,,,
2024-02-16 01:55:45,2024-02-17 00:19:40,UTC-08:00,2024-02-16 18:35:33,2024-02-16 20:17:58,102,Rowing,9.1,400.0,160,94,17,12,13,3,0,false,,,
2024-02-16 01:55:45,2024-02-17 00:19:40,UTC-08:00,2024-02-16 18:10:00,2024-02-16 18:34:00,24,Weightlifting,4.2,43.0,141,86,26,5,1,0,0,false,,,
2024-02-16 01:55:45,2024-02-17 00:19:40,UTC-08:00,2024-02-16 16:42:00,2024-02-16 18:09:00,87,Weightlifting,5.0,166.0,120,87,38,1,0,0,0,false,,,
2024-02-16 01:55:45,2024-02-17 00:19:40,UTC-08:00,2024-02-16 15:08:47,2024-02-16 16:41:06,92,Rugby,8.5,406.0,144,106,33,34,10,0,0,false,,,
2024-02-14 03:04:33,2024-02-15 00:42:19,UTC-08:00,2024-02-14 16:31:43,2024-02-14 17:13:19,41,Weightlifting,4.4,74.0,120,88,39,0,0,0,0,false,,,
2024-02-12 03:13:01,2024-02-13 01:51:41,UTC-08:00,2024-02-12 18:57:56,2024-02-12 20:07:51,69,Water Polo,12.0,517.0,168,124,22,16,34,15,0,false,,,
2024-02-11 02:28:43,2024-02-12 03:13:01,UTC-08:00,2024-02-11 19:01:09,2024-02-11 19:58:17,57,Rowing,10.5,434.0,167,124,13,43,25,12,0,false,,,
2024-02-11 02:28:43,2024-02-12 03:13:01,UTC-08:00,2024-02-11 18:04:50,2024-02-11 19:00:52,56,Weightlifting,4.1,81.0,113,82,14,0,0,0,0,false,,,
2024-02-09 02:27:39,2024-02-10 03:15:47,UTC-08:00,2024-02-09 14:09:05,2024-02-09 15:18:19,69,Swimming,14.2,677.0,173,135,13,15,16,51,0,false,,,
2024-02-07 02:51:36,2024-02-08 02:14:38,UTC-08:00,2024-02-07 16:04:59,2024-02-07 16:51:37,46,Gaelic Football,9.6,400.0,147,130,1,42,57,0,0,false,,,
2024-02-07 02:51:36,2024-02-08 02:14:38,UTC-08:00,2024-02-07 15:49:00,2024-02-07 16:02:00,13,Gaelic Football,5.0,83.0,139,118,12,75,13,0,0,false,,,
2024-02-07 02:51:36,2024-02-08 02:14:38,UTC-08:00,2024-02-07 14:07:06,2024-02-07 14:34:05,26,Gaelic Football,9.5,277.0,171,138,6,13,46,34,0,false,,,
2024-02-03 23:44:00,2024-02-05 04:18:01,UTC-08:00,2024-02-04 15:12:24,2024-02-04 15:34:02,21,Cycling,6.8,179.0,150,128,3,43,54,0,0,false,,,
2024-02-03 23:44:00,2024-02-05 04:18:01,UTC-08:00,2024-02-04 14:12:24,2024-02-04 15:12:08,59,Weightlifting,4.4,96.0,115,87,29,0,0,0,0,false,,,
2024-02-03 02:52:51,2024-02-03 23:44:00,UTC-08:00,2024-02-03 20:15:45,2024-02-03 20:52:49,37,Cycling,7.9,273.0,149,123,15,40,44,0,0,false,,,
2024-02-02 03:40:50,2024-02-03 02:52:51,UTC-08:00,2024-02-02 17:01:37,2024-02-02 18:02:54,61,Weightlifting,6.4,218.0,137,103,62,26,0,0,0,false,,,
2024-02-02 03:40:50,2024-02-03 02:52:51,UTC-08:00,2024-02-02 16:33:05,2024-02-02 16:54:55,21,Cycling,6.9,188.0,147,130,1,33,66,0,0,false,,,
2024-02-02 03:40:50,2024-02-03 02:52:51,UTC-08:00,2024-02-02 15:39:46,2024-02-02 16:31:19,51,Rowing,13.4,584.0,170,143,1,13,36,50,0,false,,,
2024-01-30 02:16:59,2024-01-31 02:44:00,UTC-08:00,2024-01-30 16:54:01,2024-01-30 17:36:26,42,Running,11.2,420.0,164,136,2,16,57,21,0,false,,,
2024-01-28 04:21:50,2024-01-29 01:43:46,UTC-08:00,2024-01-28 14:40:52,2024-01-28 15:02:09,21,Rowing,9.0,219.0,168,138,8,16,26,47,0,false,,,
2024-01-28 04:21:50,2024-01-29 01:43:46,UTC-08:00,2024-01-28 13:48:07,2024-01-28 14:35:49,47,Elliptical,10.3,402.0,157,129,8,32,50,7,0,false,,,
2024-01-27 02:56:01,2024-01-28 04:21:50,UTC-08:00,2024-01-27 14:47:27,2024-01-27 14:59:41,12,Cycling,7.3,136.0,164,143,7,12,18,63,0,false,,,
2024-01-26 03:07:02,2024-01-27 02:56:01,UTC-08:00,2024-01-26 20:25:11,2024-01-26 21:01:31,36,Cycling,6.5,190.0,163,109,13,46,11,2,0,false,,,
2024-01-22 02:17:20,2024-01-23 01:33:47,UTC-08:00,2024-01-22 21:20:24,2024-01-22 22:49:11,88,Cycling,13.0,759.0,158,130,7,22,69,0,0,false,,,
2024-01-21 05:19:56,2024-01-22 02:17:20,UTC-08:00,2024-01-21 19:45:00,2024-01-21 20:43:33,58,Elliptical,13.2,618.0,164,140,5,13,48,34,0,false,,,
2024-01-21 05:19:56,2024-01-22 02:17:20,UTC-08:00,2024-01-21 14:14:12,2024-01-21 15:06:45,52,Cycling,9.1,381.0,151,124,16,40,43,0,0,false,,,
2024-01-18 03:58:05,2024-01-19 04:07:45,UTC-08:00,2024-01-18 16:59:38,2024-01-18 17:36:05,36,Cycling,7.0,241.0,142,120,19,63,18,0,0,true,1917.36,14.45,6.67
2024-01-16 04:25:57,2024-01-17 04:08:08,UTC-08:00,2024-01-16 22:00:00,2024-01-16 23:03:46,63,Basketball,11.5,504.0,162,126,17,28,40,11,0,false,,,
